x,y,throughput_1,throughput_2,throughput_3,size
21,12,1.000000,1.000000,1.000000,0
22,11,0.100050,0.100050,0.100050,0
20,12,0.119731,0.119731,0.119731,0
22,15,1.000000,1.000000,1.000000,0
19,14,1.071635,1.071635,1.071635,0
22,14,0.110105,0.110105,0.110105,0
20,13,1.116349,1.116349,1.116349,0
23,12,1.873469,1.873469,1.873469,0
20,15,1.000000,1.000000,1.000000,0
19,11,0.100541,0.100541,0.100541,0
22,13,1.000000,1.000000,1.000000,0
23,14,0.103816,0.103816,0.103816,0
18,12,0.487634,0.487634,0.487634,0
18,14,0.098924,0.098924,0.098924,0
22,12,0.001505,0.001505,0.001505,2
24,13,1.611643,1.611643,1.611643,1
18,15,1.059619,1.059619,1.059619,0
21,11,0.106129,0.106129,0.106129,0
26,12,0.096957,0.096957,0.096957,0
24,15,0.104682,0.104682,0.104682,0
19,12,0.114540,0.114540,0.114540,0
21,15,1.000000,1.000000,1.000000,0
21,13,0.105052,0.105052,0.105052,0
23,11,2.215344,2.215344,2.215344,0
27,11,1.000000,1.000000,1.000000,0
25,14,1.000000,1.000000,1.000000,0
24,14,0.068644,0.068644,0.068644,1
27,12,1.675578,1.675578,1.675578,0
23,15,0.099844,0.099844,0.099844,0
26,13,0.092737,0.092737,0.092737,0
23,13,0.127594,0.127594,0.127594,0
26,11,0.093273,0.093273,0.093273,1
25,15,0.109178,0.109178,0.109178,0
25,12,2.187850,2.187850,2.187850,0
9,16,0.188231,0.188231,0.188231,0
10,16,0.109909,0.109909,0.109909,0
11,16,0.120362,0.120362,0.120362,0
13,16,0.952761,0.952761,0.952761,0
13,17,0.103083,0.103083,0.103083,0
14,18,1.475287,1.475287,1.475287,0
12,17,1.210954,1.210954,1.210954,0
15,17,0.106761,0.106761,0.106761,0
15,16,1.086378,1.086378,1.086378,0
13,18,0.102320,0.102320,0.102320,0
12,16,0.109455,0.109455,0.109455,0
14,17,1.000000,1.000000,1.000000,0
16,16,0.109374,0.109374,0.109374,0
15,16,0.653891,0.653891,0.653891,0
15,18,1.000000,1.000000,1.000000,0
17,17,1.000000,1.000000,1.000000,0
14,16,1.011953,1.011953,1.011953,0
19,16,0.102819,0.102819,0.102819,0
15,17,0.623994,0.623994,0.623994,0
17,17,0.942790,0.942790,0.942790,0
20,17,0.172119,0.172119,0.172119,0
16,17,0.133000,0.133000,0.133000,0
18,17,1.307466,1.307466,1.307466,0
19,18,0.239211,0.239211,0.239211,0
19,17,0.103983,0.103983,0.103983,0
21,16,0.124934,0.124934,0.124934,1
18,16,0.101056,0.101056,0.101056,0
23,16,1.490470,1.490470,1.490470,0
22,16,1.604356,1.604356,1.604356,0
20,16,0.105171,0.105171,0.105171,0
21,16,1.314968,1.314968,1.314968,0
21,16,1.314968,1.314968,1.314968,0
